time	V(n001)	V(n002)
1.633852881749762e-002	-1.233898e+000	-5.873913e-001
1.643618506749762e-002	-8.678023e-001	-4.348114e-001
1.649164101526940e-002	-6.593525e-001	-3.313636e-001
1.656005492866527e-002	-4.018086e-001	-2.019820e-001
1.665771117866527e-002	-3.376133e-002	-1.712950e-002
1.675536742866527e-002	3.343317e-001	1.677164e-001
1.685302367866527e-002	7.019716e-001	3.523318e-001
1.704833617866527e-002	1.433900e+000	7.198750e-001
1.734130492866528e-002	2.515996e+000	1.263251e+000
1.763427367866528e-002	3.567431e+000	1.791228e+000
1.792724242866529e-002	4.575393e+000	2.297373e+000
1.822021117866529e-002	5.527599e+000	2.775521e+000
1.851317992866530e-002	6.412446e+000	3.219845e+000
1.880614867866530e-002	7.219150e+000	3.624930e+000
1.909911742866530e-002	7.937881e+000	3.985840e+000
1.939208617866531e-002	8.559880e+000	4.298179e+000
1.968505492866531e-002	9.077569e+000	4.558138e+000
1.978271117866531e-002	9.225822e+000	4.632579e+000
1.988036742866532e-002	9.361573e+000	4.700676e+000
1.997802367866532e-002	9.484637e+000	4.761889e+000
2.007567992866532e-002	9.594848e+000	4.814242e+000
2.017333617866532e-002	9.692054e+000	4.854370e+000
2.027099242866532e-002	9.776126e+000	4.880961e+000
2.036864867866532e-002	9.846949e+000	4.897054e+000
2.046630492866532e-002	9.904427e+000	4.906835e+000
2.056396117866532e-002	9.948482e+000	4.912746e+000
2.066161742866533e-002	9.979054e+000	4.916179e+000
2.075927367866533e-002	9.996102e+000	4.917951e+000
2.085692992866533e-002	9.999604e+000	4.918303e+000
2.095458617866533e-002	9.989554e+000	4.917244e+000
2.105224242866533e-002	9.965966e+000	4.914621e+000
2.114989867866533e-002	9.928871e+000	4.910027e+000
2.124755492866533e-002	9.878322e+000	4.902596e+000
2.134521117866534e-002	9.814384e+000	4.890372e+000
2.144286742866534e-002	9.737144e+000	4.869750e+000
2.154052367866534e-002	9.646710e+000	4.836723e+000
2.163817992866534e-002	9.543202e+000	4.790308e+000
2.173583617866534e-002	9.426761e+000	4.733301e+000
2.183349242866534e-002	9.297544e+000	4.668643e+000
2.193114867866534e-002	9.155727e+000	4.597458e+000
2.202880492866535e-002	9.001502e+000	4.520020e+000
2.232177367866535e-002	8.466550e+000	4.251412e+000
2.261474242866535e-002	7.828424e+000	3.930995e+000
2.290771117866536e-002	7.094901e+000	3.562676e+000
2.320067992866536e-002	6.274918e+000	3.150943e+000
2.349364867866537e-002	5.378469e+000	2.700814e+000
2.378661742866537e-002	4.416478e+000	2.217773e+000
2.407958617866537e-002	3.400667e+000	1.707709e+000
2.437255492866538e-002	2.343416e+000	1.176839e+000
2.466552367866538e-002	1.257607e+000	6.316320e-001
2.486083617866539e-002	5.243946e-001	2.634757e-001
2.495849242866539e-002	1.564735e-001	7.874047e-002
2.505614867866539e-002	-2.116597e-001	-1.060974e-001
2.515380492866539e-002	-5.795061e-001	-2.907759e-001
2.525146117866539e-002	-9.465671e-001	-4.703202e-001
2.534911742866539e-002	-1.312345e+000	-6.171004e-001
2.542500372507259e-002	-1.595380e+000	-6.794876e-001
2.550512350218804e-002	-1.892783e+000	-7.040921e-001
2.560277975218804e-002	-2.252919e+000	-7.191308e-001
2.579809225218804e-002	-2.963548e+000	-7.361711e-001
2.609106100218804e-002	-3.998199e+000	-7.504193e-001
2.638402975218805e-002	-4.984128e+000	-7.597899e-001
2.667699850218805e-002	-5.909319e+000	-7.666615e-001
2.696996725218806e-002	-6.762500e+000	-7.719773e-001
2.726293600218806e-002	-7.533272e+000	-7.761903e-001
2.755590475218806e-002	-8.212243e+000	-7.795497e-001
2.784887350218807e-002	-8.791140e+000	-7.822037e-001
2.814184225218807e-002	-9.262907e+000	-7.842454e-001
2.843481100218808e-002	-9.621796e+000	-7.857342e-001
2.872777975218808e-002	-9.863433e+000	-7.867082e-001
2.902074850218809e-002	-9.984874e+000	-7.871895e-001
2.931371725218809e-002	-9.984638e+000	-7.871886e-001
2.960668600218809e-002	-9.862729e+000	-7.867056e-001
2.989965475218810e-002	-9.620632e+000	-7.857298e-001
3.019262350218810e-002	-9.261297e+000	-7.842391e-001
3.048559225218811e-002	-8.789104e+000	-7.821953e-001
3.077856100218811e-002	-8.209806e+000	-7.795389e-001
3.107152975218811e-002	-7.530464e+000	-7.761768e-001
3.136449850218812e-002	-6.759354e+000	-7.719604e-001
3.165746725218812e-002	-5.905875e+000	-7.666398e-001
3.195043600218812e-002	-4.980426e+000	-7.597607e-001
3.224340475218813e-002	-3.994285e+000	-7.503742e-001
3.253637350218813e-002	-2.959470e+000	-7.359439e-001
3.273168600218814e-002	-2.248759e+000	-7.190204e-001
3.282934225218814e-002	-1.888591e+000	-7.031688e-001
3.292699850218814e-002	-1.525862e+000	-6.617590e-001
3.302465475218814e-002	-1.161066e+000	-5.604712e-001
3.312231100218814e-002	-7.946966e-001	-3.989444e-001
3.318096277299350e-002	-5.741076e-001	-2.885420e-001
3.325106156719418e-002	-3.101075e-001	-1.559247e-001
3.334871781719418e-002	5.799781e-002	2.894972e-002
3.344637406719418e-002	4.260246e-001	2.137614e-001
3.364168656719418e-002	1.159848e+000	5.822582e-001
3.393465531719419e-002	2.247564e+000	1.128458e+000
3.422762406719419e-002	3.307891e+000	1.660900e+000
3.452059281719420e-002	4.327909e+000	2.173100e+000
3.481356156719420e-002	5.295186e+000	2.658815e+000
3.510653031719421e-002	6.197935e+000	3.112128e+000
3.539949906719421e-002	7.025156e+000	3.527516e+000
3.569246781719421e-002	7.766768e+000	3.899916e+000
3.598543656719422e-002	8.413733e+000	4.224791e+000
3.627840531719422e-002	8.958169e+000	4.498181e+000
3.637606156719422e-002	9.115679e+000	4.577275e+000
3.647371781719423e-002	9.260835e+000	4.650154e+000
3.657137406719423e-002	9.393440e+000	4.716618e+000
3.666903031719423e-002	9.513315e+000	4.775890e+000
3.676668656719423e-002	9.620297e+000	4.825511e+000
3.686434281719423e-002	9.714242e+000	4.862211e+000
3.696199906719423e-002	9.795021e+000	4.885759e+000
3.705965531719423e-002	9.862526e+000	4.899877e+000
3.715731156719423e-002	9.916665e+000	4.908515e+000
3.725496781719424e-002	9.957365e+000	4.913764e+000
3.735262406719424e-002	9.984570e+000	4.916763e+000
3.745028031719424e-002	9.998243e+000	4.918170e+000
3.754793656719424e-002	9.998367e+000	4.918174e+000
3.764559281719424e-002	9.984941e+000	4.916747e+000
3.774324906719424e-002	9.957982e+000	4.913684e+000
3.784090531719424e-002	9.917529e+000	4.908490e+000
3.793856156719425e-002	9.863635e+000	4.900122e+000
