time	V(n001)	V(n002)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.373095080828996e-008	5.176446e-005	3.303142e-006
2.746190161657992e-008	1.035289e-004	9.455821e-006
4.119285242486987e-008	1.552934e-004	1.845804e-005
5.492380323315983e-008	2.070579e-004	3.030979e-005
6.865475404144979e-008	2.588223e-004	4.501109e-005
8.238570484973974e-008	3.105868e-004	6.256192e-005
9.611665565802967e-008	3.623512e-004	8.296229e-005
1.414053263467043e-007	5.330855e-004	1.625489e-004
1.979206758689749e-007	7.461433e-004	2.862721e-004
2.763492690501616e-007	1.041812e-003	4.891370e-004
3.772850681864140e-007	1.422331e-003	7.834387e-004
5.180781124064182e-007	1.953108e-003	1.228144e-003
7.116037544115765e-007	2.682683e-003	1.867955e-003
1.006952744683860e-006	3.796122e-003	2.865352e-003
3.254332549181273e-005	1.227118e-001	1.102131e-001
6.407969823894161e-005	2.415723e-001	2.175001e-001
9.561607098607048e-005	3.603777e-001	3.247265e-001
1.271524437331994e-004	4.791280e-001	4.318922e-001
1.586888164803282e-004	5.978231e-001	5.389972e-001
1.902251892274571e-004	7.164630e-001	6.460416e-001
2.217615619745859e-004	8.350478e-001	7.530254e-001
3.194178119745859e-004	1.201269e+000	1.083501e+000
4.170740619745860e-004	1.565862e+000	1.412502e+000
6.123865619745859e-004	2.288190e+000	2.064306e+000
9.053553119745859e-004	3.347227e+000	3.019930e+000
1.198324061974586e-003	4.365474e+000	3.938742e+000
1.295980311974586e-003	4.693664e+000	4.234881e+000
1.393636561974586e-003	5.015492e+000	4.524614e+000
1.491292811974586e-003	5.330524e+000	4.765084e+000
1.588949061974586e-003	5.638331e+000	4.895392e+000
1.686605311974586e-003	5.938497e+000	4.937203e+000
1.881917811974587e-003	6.514289e+000	4.960151e+000
1.979574061974587e-003	6.789135e+000	4.966579e+000
2.077230311974587e-003	7.054780e+000	4.971592e+000
2.174886561974587e-003	7.310864e+000	4.975743e+000
2.370199061974587e-003	7.792975e+000	4.982284e+000
2.565511561974587e-003	8.232855e+000	4.987225e+000
2.760824061974587e-003	8.628120e+000	4.991080e+000
