time	V(n001)
0.000000000000000e+000	0.000000e+000
9.765624975344167e-010	3.960546e-020
1.953124995068833e-009	2.113335e-019
1.324214541337123e-005	-6.879884e-012
2.648233770174738e-005	2.687968e-011
3.972252999012354e-005	1.012787e-010
5.296272227849970e-005	2.163171e-010
6.620291456687586e-005	3.719950e-010
7.944310685525201e-005	5.683124e-010
9.268329914362814e-005	8.052692e-010
1.109179850516012e-004	1.435607e-009
1.276239939256502e-004	2.494616e-009
1.427783824813483e-004	4.256924e-009
1.569441704079113e-004	7.245415e-009
1.703122511922681e-004	1.229415e-008
1.832115938600157e-004	2.090730e-008
1.957497426840373e-004	3.556915e-008
2.080835035208119e-004	6.064790e-008
2.202583133176983e-004	1.034831e-007
2.323463799377930e-004	1.768180e-007
2.443651924192901e-004	3.022562e-007
2.563481947162274e-004	5.170626e-007
2.683016225619144e-004	8.847115e-007
2.802411379438142e-004	1.514319e-006
2.921687260262922e-004	2.592205e-006
3.040918799347880e-004	4.438086e-006
3.160112323355016e-004	7.598613e-006
3.279307034836122e-004	1.301088e-005
3.398509404264318e-004	2.227819e-005
3.517748697501296e-004	3.814742e-005
3.637044611826045e-004	6.531962e-005
3.756441703249550e-004	1.118452e-004
3.876000734777794e-004	1.915005e-004
3.995831876124378e-004	3.278629e-004
4.116115486042790e-004	5.612575e-004
4.237163238363238e-004	9.606393e-004
4.359502927521298e-004	1.643898e-003
4.484036298429264e-004	2.812901e-003
4.612296833880400e-004	4.815271e-003
4.746901337476268e-004	8.260190e-003
4.892357291195787e-004	1.424745e-002
5.056033493820959e-004	2.484659e-002
5.254006481996565e-004	4.456737e-002
5.521957988007478e-004	8.274246e-002
5.779543290723346e-004	1.316952e-001
6.103476355134107e-004	2.088017e-001
6.571512587140319e-004	3.390875e-001
7.178456263334413e-004	5.256798e-001
7.822976204615333e-004	7.346645e-001
8.494302655571967e-004	9.573297e-001
1.043013679237607e-003	1.603452e+000
1.322031536380465e-003	2.534822e+000
1.601049393523322e-003	3.448339e+000
1.880067250666180e-003	4.344003e+000
2.159085107809038e-003	5.221814e+000
2.438102964951895e-003	6.081771e+000
2.717120822094753e-003	6.923875e+000
2.996138679237609e-003	7.748125e+000
3.428616357809037e-003	8.980512e+000
3.861094036380464e-003	1.012544e+001
4.293571714951892e-003	1.118291e+001
4.726049393523320e-003	1.215291e+001
5.158527072094748e-003	1.303546e+001
5.591004750666175e-003	1.383055e+001
6.023482429237602e-003	1.453817e+001
6.232745822094744e-003	1.483606e+001
6.442009214951886e-003	1.510831e+001
6.651272607809029e-003	1.535493e+001
6.860536000666171e-003	1.557592e+001
7.069799393523313e-003	1.577128e+001
7.279062786380455e-003	1.594100e+001
7.488326179237597e-003	1.608510e+001
7.781294929237596e-003	1.624400e+001
7.976607429237595e-003	1.632316e+001
8.074263679237595e-003	1.635504e+001
8.171919929237595e-003	1.638201e+001
8.269576179237594e-003	1.640429e+001
8.367232429237594e-003	1.642213e+001
8.464888679237594e-003	1.643586e+001
8.562544929237593e-003	1.644586e+001
8.660201179237593e-003	1.645258e+001
8.757857429237593e-003	1.645649e+001
8.855513679237592e-003	1.645812e+001
8.953169929237592e-003	1.645799e+001
9.050826179237591e-003	1.645656e+001
9.148482429237591e-003	1.645427e+001
9.225154490330741e-003	1.645206e+001
9.289004626207881e-003	1.645002e+001
9.347425862127137e-003	1.644806e+001
9.401663455548024e-003	1.644618e+001
9.452442589169616e-003	1.644440e+001
9.500393984954959e-003	1.644269e+001
9.546004710062745e-003	1.644106e+001
9.594046209066998e-003	1.643933e+001
9.637679767243834e-003	1.643776e+001
9.679933737148814e-003	1.643623e+001
9.720518824068238e-003	1.643476e+001
9.760102795828994e-003	1.643333e+001
9.798779623157099e-003	1.643193e+001
9.836979894014095e-003	1.643055e+001
9.875041678806358e-003	1.642917e+001
9.913456808559174e-003	1.642778e+001
9.957127630038564e-003	1.642620e+001
1.000650613671361e-002	1.642441e+001
1.006823192514898e-002	1.642217e+001
1.014539030478347e-002	1.641938e+001
1.024304655478347e-002	1.641584e+001
1.034070280478347e-002	1.641231e+001
1.043835905478347e-002	1.640878e+001
1.053601530478347e-002	1.640524e+001
1.063367155478347e-002	1.640171e+001
1.073132780478347e-002	1.639818e+001
1.082898405478347e-002	1.639465e+001
1.092664030478347e-002	1.639112e+001
1.102429655478347e-002	1.638759e+001
1.112195280478347e-002	1.638406e+001
1.121960905478347e-002	1.638054e+001
1.141492155478347e-002	1.637348e+001
1.161023405478347e-002	1.636643e+001
1.180554655478347e-002	1.635939e+001
1.209851530478347e-002	1.634882e+001
1.239148405478347e-002	1.633827e+001
1.272630548335489e-002	1.632621e+001
1.306112691192632e-002	1.631416e+001
1.339594834049775e-002	1.630212e+001
1.373076976906918e-002	1.629009e+001
1.406559119764060e-002	1.627807e+001
1.440041262621203e-002	1.626606e+001
1.473523405478346e-002	1.625406e+001
1.518166262621203e-002	1.623806e+001
1.562809119764061e-002	1.622209e+001
1.607451976906919e-002	1.620613e+001
1.652094834049776e-002	1.619018e+001
1.696737691192634e-002	1.617426e+001
1.741380548335491e-002	1.615834e+001
1.786023405478349e-002	1.614245e+001
1.822295726906921e-002	1.612954e+001
1.858568048335493e-002	1.611665e+001
1.894840369764065e-002	1.610376e+001
1.931112691192637e-002	1.609089e+001
1.967385012621208e-002	1.607803e+001
2.003657334049780e-002	1.606517e+001
2.039929655478352e-002	1.605233e+001
2.063646173335496e-002	1.604394e+001
2.087362691192638e-002	1.603555e+001
2.111079209049782e-002	1.602717e+001
2.134795726906925e-002	1.601879e+001
2.158512244764068e-002	1.601042e+001
2.182228762621211e-002	1.600205e+001
2.205945280478355e-002	1.599368e+001
2.215710905478355e-002	1.599024e+001
2.225476530478355e-002	1.598680e+001
2.235242155478355e-002	1.598335e+001
2.245007780478355e-002	1.597991e+001
2.254773405478355e-002	1.597647e+001
2.264539030478355e-002	1.597303e+001
2.274304655478356e-002	1.596959e+001
2.284070280478356e-002	1.596616e+001
2.290889983416785e-002	1.596376e+001
2.295758885246832e-002	1.596204e+001
2.299889426044369e-002	1.596059e+001
2.303710352467585e-002	1.595924e+001
2.307386838043937e-002	1.595795e+001
2.311218305146719e-002	1.595660e+001
2.314822962067103e-002	1.595534e+001
2.318451905334280e-002	1.595407e+001
2.322053858792483e-002	1.595280e+001
2.325687231569000e-002	1.595154e+001
2.329364358462678e-002	1.595026e+001
2.333101991321912e-002	1.594898e+001
2.336913370416804e-002	1.594769e+001
2.340810491454291e-002	1.594642e+001
2.344807497613407e-002	1.594519e+001
2.348922404422825e-002	1.594405e+001
2.353181871439262e-002	1.594310e+001
2.357629105379814e-002	1.594252e+001
2.362340808092322e-002	1.594267e+001
2.367467896523167e-002	1.594428e+001
2.373362450896770e-002	1.594917e+001
2.381172227297568e-002	1.596188e+001
2.388942960839462e-002	1.598246e+001
2.396572407163735e-002	1.601074e+001
2.404505738658196e-002	1.604686e+001
2.414271363658196e-002	1.609616e+001
2.424036988658196e-002	1.614674e+001
2.433802613658196e-002	1.619584e+001
2.443568238658196e-002	1.624161e+001
2.453333863658196e-002	1.628315e+001
2.482630738658197e-002	1.637945e+001
2.492396363658197e-002	1.640215e+001
2.502161988658197e-002	1.642043e+001
2.511927613658197e-002	1.643460e+001
2.521693238658197e-002	1.644501e+001
2.531458863658197e-002	1.645208e+001
2.541224488658198e-002	1.645630e+001
2.550990113658198e-002	1.645818e+001
2.560755738658198e-002	1.645823e+001
2.570521363658198e-002	1.645694e+001
2.580286988658198e-002	1.645473e+001
2.588286258383101e-002	1.645247e+001
2.594772909948942e-002	1.645042e+001
2.600669305142560e-002	1.644845e+001
2.606148610970934e-002	1.644656e+001
2.611263478381859e-002	1.644477e+001
2.616096473570215e-002	1.644305e+001
2.620682148601472e-002	1.644141e+001
2.625519702146391e-002	1.643967e+001
2.629910574211935e-002	1.643808e+001
2.634505868354666e-002	1.643642e+001
2.639313812797781e-002	1.643468e+001
2.645049229261349e-002	1.643261e+001
2.651572500900215e-002	1.643025e+001
2.659799662291157e-002	1.642727e+001
2.669565287291157e-002	1.642373e+001
2.679330912291157e-002	1.642019e+001
2.689096537291157e-002	1.641666e+001
2.698862162291157e-002	1.641312e+001
2.708627787291158e-002	1.640959e+001
2.718393412291158e-002	1.640606e+001
2.728159037291158e-002	1.640253e+001
2.737924662291158e-002	1.639899e+001
2.747690287291158e-002	1.639546e+001
2.757455912291158e-002	1.639194e+001
2.767221537291158e-002	1.638840e+001
2.776987162291159e-002	1.638488e+001
2.786752787291159e-002	1.638135e+001
2.806284037291159e-002	1.637430e+001
2.825815287291159e-002	1.636725e+001
2.845346537291160e-002	1.636020e+001
2.874643412291160e-002	1.634964e+001
2.903940287291160e-002	1.633908e+001
2.937422430148304e-002	1.632702e+001
2.970904573005447e-002	1.631497e+001
3.004386715862590e-002	1.630293e+001
3.037868858719734e-002	1.629090e+001
3.071351001576877e-002	1.627888e+001
3.104833144434020e-002	1.626687e+001
3.138315287291164e-002	1.625486e+001
3.182958144434021e-002	1.623887e+001
3.227601001576879e-002	1.622290e+001
3.272243858719737e-002	1.620694e+001
3.316886715862595e-002	1.619099e+001
3.361529573005453e-002	1.617506e+001
3.406172430148310e-002	1.615915e+001
3.450815287291168e-002	1.614325e+001
3.487087608719740e-002	1.613034e+001
3.523359930148312e-002	1.611745e+001
3.559632251576884e-002	1.610457e+001
3.595904573005456e-002	1.609169e+001
3.632176894434028e-002	1.607883e+001
3.668449215862600e-002	1.606597e+001
3.704721537291172e-002	1.605313e+001
3.728438055148315e-002	1.604474e+001
3.752154573005458e-002	1.603635e+001
3.775871090862602e-002	1.602797e+001
3.799587608719744e-002	1.601959e+001
3.823304126576888e-002	1.601121e+001
3.847020644434031e-002	1.600284e+001
3.870737162291174e-002	1.599448e+001
3.880502787291174e-002	1.599103e+001
3.890268412291174e-002	1.598759e+001
3.900034037291175e-002	1.598415e+001
3.909799662291175e-002	1.598071e+001
3.919565287291175e-002	1.597727e+001
3.929330912291175e-002	1.597383e+001
3.939096537291175e-002	1.597039e+001
3.948862162291175e-002	1.596695e+001
3.958627787291175e-002	1.596351e+001
3.966966350803561e-002	1.596058e+001
3.972637674977412e-002	1.595858e+001
3.976350517905555e-002	1.595728e+001
3.979918781067060e-002	1.595602e+001
3.983675484667774e-002	1.595471e+001
3.987224095639264e-002	1.595346e+001
3.990870991663956e-002	1.595219e+001
3.994519720153400e-002	1.595092e+001
3.998233855650283e-002	1.594964e+001
4.002013241072888e-002	1.594835e+001
4.005873874115315e-002	1.594707e+001
4.009828156737847e-002	1.594582e+001
4.013892326169273e-002	1.594463e+001
4.018088460096449e-002	1.594359e+001
4.022452109715709e-002	1.594283e+001
4.027042540950349e-002	1.594262e+001
4.031973075842362e-002	1.594349e+001
4.037483285702771e-002	1.594667e+001
4.044238838957994e-002	1.595555e+001
4.054004463957994e-002	1.597811e+001
4.061521001602345e-002	1.600383e+001
4.069594193187189e-002	1.603937e+001
4.078888068891037e-002	1.608560e+001
4.088653693891037e-002	1.613619e+001
4.098419318891037e-002	1.618577e+001
4.108184943891037e-002	1.623233e+001
4.117950568891037e-002	1.627481e+001
4.147247443891038e-002	1.637410e+001
4.157013068891038e-002	1.639776e+001
4.166778693891038e-002	1.641695e+001
4.176544318891038e-002	1.643195e+001
4.186309943891038e-002	1.644311e+001
4.196075568891038e-002	1.645085e+001
4.205841193891038e-002	1.645563e+001
4.215606818891039e-002	1.645796e+001
4.225372443891039e-002	1.645835e+001
4.235138068891039e-002	1.645730e+001
4.244903693891039e-002	1.645526e+001
4.253554184657826e-002	1.645289e+001
4.260476178513242e-002	1.645074e+001
4.266503855886501e-002	1.644873e+001
4.273240923111202e-002	1.644641e+001
4.279814533727118e-002	1.644410e+001
4.286351680469522e-002	1.644176e+001
4.293906570157310e-002	1.643905e+001
4.302467114515528e-002	1.643596e+001
4.312232739515529e-002	1.643243e+001
4.321998364515529e-002	1.642889e+001
4.331763989515529e-002	1.642535e+001
4.341529614515529e-002	1.642182e+001
4.351295239515529e-002	1.641828e+001
4.361060864515529e-002	1.641475e+001
4.370826489515529e-002	1.641121e+001
4.380592114515530e-002	1.640768e+001
4.390357739515530e-002	1.640415e+001
4.400123364515530e-002	1.640062e+001
4.409888989515530e-002	1.639709e+001
4.419654614515530e-002	1.639355e+001
4.429420239515530e-002	1.639003e+001
4.439185864515530e-002	1.638650e+001
4.448951489515531e-002	1.638297e+001
4.468482739515531e-002	1.637592e+001
4.488013989515531e-002	1.636886e+001
4.507545239515531e-002	1.636182e+001
4.536842114515532e-002	1.635125e+001
4.566138989515532e-002	1.634069e+001
4.599621132372676e-002	1.632863e+001
4.633103275229819e-002	1.631658e+001
4.666585418086963e-002	1.630454e+001
4.700067560944106e-002	1.629251e+001
4.733549703801249e-002	1.628049e+001
4.767031846658392e-002	1.626847e+001
4.800513989515536e-002	1.625647e+001
4.843761757372679e-002	1.624098e+001
4.887009525229823e-002	1.622550e+001
4.930257293086966e-002	1.621003e+001
4.973505060944110e-002	1.619458e+001
5.016752828801253e-002	1.617915e+001
5.060000596658396e-002	1.616373e+001
5.103248364515540e-002	1.614832e+001
5.139520685944111e-002	1.613541e+001
5.175793007372684e-002	1.612251e+001
5.212065328801255e-002	1.610963e+001
5.248337650229828e-002	1.609675e+001
5.284609971658399e-002	1.608388e+001
5.320882293086972e-002	1.607102e+001
5.357154614515543e-002	1.605817e+001
5.382266221658401e-002	1.604929e+001
5.407377828801258e-002	1.604040e+001
5.432489435944116e-002	1.603152e+001
5.457601043086974e-002	1.602265e+001
5.482712650229831e-002	1.601378e+001
5.507824257372689e-002	1.600492e+001
5.532935864515546e-002	1.599606e+001
5.542701489515546e-002	1.599261e+001
5.552467114515546e-002	1.598917e+001
5.562232739515546e-002	1.598573e+001
5.571998364515546e-002	1.598229e+001
5.581763989515547e-002	1.597885e+001
5.591529614515547e-002	1.597541e+001
5.601295239515547e-002	1.597197e+001
5.611060864515547e-002	1.596853e+001
5.620826489515547e-002	1.596509e+001
5.630592114515547e-002	1.596165e+001
5.640357739515547e-002	1.595822e+001
5.650123364515548e-002	1.595479e+001
5.654678497137978e-002	1.595319e+001
5.658862235401294e-002	1.595173e+001
5.662581496187413e-002	1.595044e+001
5.666417046181202e-002	1.594913e+001
5.670231256440420e-002	1.594784e+001
5.674139284115550e-002	1.594656e+001
5.678138936833070e-002	1.594533e+001
5.682253063144476e-002	1.594419e+001
5.686514462695248e-002	1.594324e+001
5.690959487197876e-002	1.594266e+001
5.695672617946451e-002	1.594280e+001
5.700796004687075e-002	1.594440e+001
5.706690366188823e-002	1.594928e+001
5.714484192356170e-002	1.596194e+001
5.722264271284404e-002	1.598250e+001
5.729887572611284e-002	1.601072e+001
5.737819170284002e-002	1.604680e+001
5.747584795284003e-002	1.609608e+001
5.757350420284003e-002	1.614666e+001
5.767116045284003e-002	1.619575e+001
5.776881670284003e-002	1.624152e+001
5.786647295284003e-002	1.628307e+001
5.815944170284004e-002	1.637940e+001
5.825709795284004e-002	1.640211e+001
5.835475420284004e-002	1.642040e+001
5.845241045284004e-002	1.643457e+001
5.855006670284004e-002	1.644499e+001
5.864772295284004e-002	1.645207e+001
5.874537920284004e-002	1.645630e+001
5.884303545284005e-002	1.645818e+001
5.894069170284005e-002	1.645823e+001
5.903834795284005e-002	1.645694e+001
5.913600420284005e-002	1.645474e+001
5.921603359457205e-002	1.645248e+001
5.928093716411294e-002	1.645043e+001
5.933989234941699e-002	1.644846e+001
5.939471401288662e-002	1.644657e+001
5.944585057770353e-002	1.644477e+001
5.949420429004507e-002	1.644305e+001
5.954008699576157e-002	1.644141e+001
5.958844234872819e-002	1.643967e+001
5.963372073268472e-002	1.643804e+001
5.968640945107352e-002	1.643613e+001
5.974333937499191e-002	1.643407e+001
5.981234787564499e-002	1.643158e+001
5.989483289258835e-002	1.642859e+001
5.999248914258835e-002	1.642505e+001
6.009014539258836e-002	1.642152e+001
6.018780164258836e-002	1.641798e+001
6.028545789258836e-002	1.641445e+001
6.038311414258836e-002	1.641091e+001
6.048077039258836e-002	1.640738e+001
6.057842664258836e-002	1.640385e+001
6.067608289258836e-002	1.640031e+001
6.077373914258837e-002	1.639678e+001
6.087139539258837e-002	1.639325e+001
6.096905164258837e-002	1.638972e+001
6.106670789258837e-002	1.638620e+001
6.116436414258837e-002	1.638267e+001
6.135967664258837e-002	1.637561e+001
6.155498914258838e-002	1.636856e+001
6.175030164258838e-002	1.636152e+001
6.204327039258838e-002	1.635095e+001
6.233623914258839e-002	1.634039e+001
6.267106057115980e-002	1.632833e+001
6.300588199973121e-002	1.631628e+001
6.334070342830263e-002	1.630424e+001
6.367552485687403e-002	1.629221e+001
6.401034628544544e-002	1.628019e+001
6.434516771401685e-002	1.626818e+001
6.467998914258827e-002	1.625617e+001
6.512641771401681e-002	1.624018e+001
6.557284628544537e-002	1.622420e+001
6.601927485687391e-002	1.620824e+001
6.646570342830245e-002	1.619229e+001
6.691213199973101e-002	1.617636e+001
6.735856057115955e-002	1.616045e+001
6.780498914258809e-002	1.614455e+001
6.816771235687379e-002	1.613164e+001
6.853043557115948e-002	1.611875e+001
6.889315878544518e-002	1.610586e+001
6.925588199973086e-002	1.609299e+001
6.961860521401656e-002	1.608012e+001
6.998132842830225e-002	1.606727e+001
7.034405164258795e-002	1.605442e+001
7.058121682115937e-002	1.604603e+001
7.081838199973077e-002	1.603764e+001
7.105554717830219e-002	1.602926e+001
7.129271235687361e-002	1.602088e+001
7.152987753544503e-002	1.601250e+001
7.176704271401643e-002	1.600413e+001
7.200420789258785e-002	1.599576e+001
7.210186414258785e-002	1.599232e+001
7.219952039258784e-002	1.598888e+001
