time	V(n001)
0.000000000000000e+000	0.000000e+000
9.765624975344167e-010	3.960542e-019
1.953124995068833e-009	2.113333e-018
1.324795818503797e-005	-6.893785e-011
2.649396324508086e-005	2.688736e-010
3.973996830512376e-005	1.013434e-009
5.298597336516665e-005	2.164745e-009
6.623197842520956e-005	3.722804e-009
7.947798348525245e-005	5.687613e-009
9.272398854529532e-005	8.059171e-009
1.109582686406979e-004	1.436689e-008
1.276623870596862e-004	2.496461e-008
1.428138722908445e-004	4.259990e-008
1.569773687000357e-004	7.250642e-008
1.703434593831195e-004	1.230299e-007
1.832414605930626e-004	2.092247e-007
1.957785744938807e-004	3.559506e-007
2.081116897306335e-004	6.069243e-007
2.202860456264784e-004	1.035594e-006
2.323738947705412e-004	1.769489e-006
2.443926472535881e-004	3.024803e-006
2.563758153204667e-004	5.174465e-006
2.683296713402003e-004	8.853674e-006
2.802700460666348e-004	1.515438e-005
2.921991704395579e-004	2.594107e-005
3.041250139482359e-004	4.441301e-005
3.160490010213780e-004	7.603992e-005
3.279764383960091e-004	1.301972e-004
3.399103350866600e-004	2.229228e-004
3.518576867770121e-004	3.816849e-004
3.638274405767031e-004	6.534692e-004
3.758360702514610e-004	1.118673e-003
3.879103910865651e-004	1.914712e-003
4.000974442707459e-004	3.276410e-003
4.124784408027062e-004	5.604926e-003
4.251973475293361e-004	9.587532e-003
4.385147568717309e-004	1.641831e-002
4.529265342254209e-004	2.823752e-002
4.693754591422922e-004	4.913376e-002
4.905401382191921e-004	8.736836e-002
5.105484846229637e-004	1.341677e-001
5.320952435923788e-004	1.944478e-001
5.650756521571898e-004	2.967066e-001
5.994344915179319e-004	4.088615e-001
6.371959505074440e-004	5.349355e-001
8.481329521864862e-004	1.243042e+000
1.113199916472201e-003	2.132507e+000
1.378266880757915e-003	3.007485e+000
1.643333845043630e-003	3.867976e+000
1.908400809329345e-003	4.713980e+000
2.173467773615059e-003	5.545498e+000
2.438534737900774e-003	6.362529e+000
2.703601702186488e-003	7.165073e+000
3.150030273615058e-003	8.476883e+000
3.596458845043629e-003	9.698654e+000
4.042887416472200e-003	1.083039e+001
4.489315987900771e-003	1.187208e+001
4.935744559329341e-003	1.282373e+001
5.382173130757912e-003	1.368535e+001
5.828601702186482e-003	1.445692e+001
6.079717773615052e-003	1.483346e+001
6.330833845043623e-003	1.517264e+001
6.581949916472193e-003	1.547446e+001
6.833065987900764e-003	1.573893e+001
7.084182059329335e-003	1.596604e+001
7.335298130757906e-003	1.615579e+001
7.586414202186476e-003	1.630819e+001
7.684070452186475e-003	1.635679e+001
7.781726702186475e-003	1.639979e+001
7.879382952186475e-003	1.643719e+001
7.977039202186474e-003	1.646899e+001
8.074695452186474e-003	1.649520e+001
8.172351702186474e-003	1.651580e+001
8.270007952186473e-003	1.653081e+001
8.367664202186473e-003	1.654063e+001
8.465320452186472e-003	1.654524e+001
8.562976702186472e-003	1.654480e+001
8.660632952186472e-003	1.653949e+001
8.758289202186471e-003	1.652954e+001
8.855945452186471e-003	1.651525e+001
8.953601702186471e-003	1.649692e+001
9.051257952186470e-003	1.647496e+001
9.148914202186470e-003	1.644981e+001
9.246570452186470e-003	1.642195e+001
9.344226702186469e-003	1.639189e+001
9.441882952186469e-003	1.636013e+001
9.539539202186469e-003	1.632713e+001
9.637195452186468e-003	1.629333e+001
9.719376533242277e-003	1.626447e+001
9.795244793589064e-003	1.623762e+001
9.870922003725666e-003	1.621074e+001
9.939432534072311e-003	1.618636e+001
1.001602898906672e-002	1.615911e+001
1.009736849465201e-002	1.613019e+001
1.019502474465201e-002	1.609551e+001
1.029268099465201e-002	1.606090e+001
1.039033724465201e-002	1.602636e+001
1.048799349465201e-002	1.599189e+001
1.058564974465201e-002	1.595749e+001
1.068330599465201e-002	1.592317e+001
1.078096224465201e-002	1.588892e+001
1.087861849465201e-002	1.585475e+001
1.097627474465201e-002	1.582065e+001
1.107393099465201e-002	1.578662e+001
1.117158724465201e-002	1.575266e+001
1.126924349465201e-002	1.571878e+001
1.136689974465201e-002	1.568497e+001
1.146455599465201e-002	1.565124e+001
1.156221224465201e-002	1.561758e+001
1.175752474465201e-002	1.555047e+001
1.195283724465200e-002	1.548364e+001
1.214814974465200e-002	1.541711e+001
1.244111849465200e-002	1.531785e+001
1.273408724465200e-002	1.521922e+001
1.305495778036629e-002	1.511194e+001
1.337582831608057e-002	1.500541e+001
1.369669885179486e-002	1.489962e+001
1.401756938750914e-002	1.479457e+001
1.433843992322342e-002	1.469026e+001
1.465931045893771e-002	1.458670e+001
1.498018099465199e-002	1.448388e+001
1.539870778036628e-002	1.435087e+001
1.581723456608057e-002	1.421905e+001
1.623576135179487e-002	1.408843e+001
1.665428813750915e-002	1.395900e+001
1.707281492322344e-002	1.383077e+001
1.749134170893774e-002	1.370373e+001
1.790986849465202e-002	1.357788e+001
1.821678813750917e-002	1.348632e+001
1.852370778036632e-002	1.339536e+001
1.883062742322347e-002	1.330502e+001
1.913754706608061e-002	1.321528e+001
1.944446670893776e-002	1.312614e+001
1.975138635179491e-002	1.303762e+001
2.005830599465205e-002	1.294970e+001
2.035127474465206e-002	1.286632e+001
2.054658724465206e-002	1.281103e+001
2.064424349465206e-002	1.278348e+001
2.074189974465206e-002	1.275598e+001
2.083955599465207e-002	1.272855e+001
2.093721224465207e-002	1.270117e+001
2.103486849465207e-002	1.267385e+001
2.107615310639138e-002	1.266231e+001
2.110235137149348e-002	1.265500e+001
2.112304137185443e-002	1.264923e+001
2.114213738348724e-002	1.264390e+001
2.116027216769278e-002	1.263885e+001
2.117958503479194e-002	1.263347e+001
2.119705917002685e-002	1.262862e+001
2.121444406284219e-002	1.262379e+001
2.123130302822086e-002	1.261912e+001
2.124799938378620e-002	1.261452e+001
2.126458816567120e-002	1.260997e+001
2.128114725121918e-002	1.260549e+001
2.129773717368079e-002	1.260109e+001
2.131440671288220e-002	1.259681e+001
2.133122143566755e-002	1.259276e+001
2.134827589097814e-002	1.258909e+001
2.136573212007772e-002	1.258612e+001
2.138388964865687e-002	1.258442e+001
2.140335837047696e-002	1.258516e+001
2.142560766776318e-002	1.259133e+001
2.145613189478858e-002	1.260968e+001
2.147907104270026e-002	1.263244e+001
2.150667856817337e-002	1.267035e+001
2.153535040751101e-002	1.271824e+001
2.158188331106868e-002	1.280539e+001
2.162674431526944e-002	1.289368e+001
2.167699402731405e-002	1.299403e+001
2.182845071207609e-002	1.329075e+001
2.212141946207609e-002	1.383556e+001
2.241438821207610e-002	1.433105e+001
2.270735696207610e-002	1.477721e+001
2.300032571207611e-002	1.517406e+001
2.329329446207611e-002	1.552158e+001
2.358626321207611e-002	1.581979e+001
2.387923196207612e-002	1.606867e+001
2.400478999779040e-002	1.615841e+001
2.413034803350469e-002	1.623872e+001
2.425590606921898e-002	1.630962e+001
2.438146410493327e-002	1.637109e+001
2.450702214064756e-002	1.642314e+001
2.463258017636184e-002	1.646578e+001
2.475813821207613e-002	1.649899e+001
2.485579446207613e-002	1.651864e+001
2.495345071207613e-002	1.653288e+001
2.505110696207613e-002	1.654179e+001
2.514876321207614e-002	1.654552e+001
