time	V(n001)
3.945375559627137e-002	1.617924e+001
3.955141184627137e-002	1.617760e+001
3.964906809627138e-002	1.617596e+001
3.974672434627138e-002	1.617432e+001
3.984438059627138e-002	1.617269e+001
3.990377002776894e-002	1.617169e+001
3.995403437542210e-002	1.617085e+001
3.999454659676967e-002	1.617017e+001
4.003766324220340e-002	1.616945e+001
4.007835532232754e-002	1.616877e+001
4.012011431196104e-002	1.616808e+001
4.016228835420481e-002	1.616738e+001
4.020546181004155e-002	1.616667e+001
4.024978315308130e-002	1.616595e+001
4.029544900800926e-002	1.616523e+001
4.034269314066309e-002	1.616452e+001
4.039176733743102e-002	1.616385e+001
4.044304445952761e-002	1.616325e+001
4.049704715128102e-002	1.616282e+001
4.055465406567328e-002	1.616274e+001
4.061741724679641e-002	1.616337e+001
4.068863878035741e-002	1.616554e+001
4.077702645695367e-002	1.617124e+001
4.087468270695367e-002	1.618218e+001
4.097233895695367e-002	1.619849e+001
4.106999520695367e-002	1.621967e+001
4.116765145695368e-002	1.624419e+001
4.126530770695368e-002	1.627017e+001
4.136296395695368e-002	1.629587e+001
4.146062020695368e-002	1.631996e+001
4.155827645695368e-002	1.634152e+001
4.165593270695368e-002	1.636004e+001
4.175358895695368e-002	1.637532e+001
4.185124520695369e-002	1.638735e+001
4.194890145695369e-002	1.639632e+001
4.204655770695369e-002	1.640257e+001
4.214421395695369e-002	1.640651e+001
4.224187020695369e-002	1.640861e+001
4.233952645695369e-002	1.640931e+001
4.243718270695369e-002	1.640907e+001
4.252175554014519e-002	1.640835e+001
4.258659407043620e-002	1.640756e+001
4.264542569538648e-002	1.640673e+001
4.270001134789510e-002	1.640590e+001
4.275109282827720e-002	1.640510e+001
4.279915510292519e-002	1.640431e+001
4.284487292792926e-002	1.640356e+001
4.289310631833922e-002	1.640275e+001
4.293667545635212e-002	1.640202e+001
4.297882909723967e-002	1.640131e+001
4.302053825802168e-002	1.640060e+001
4.306395513117534e-002	1.639987e+001
4.311550697662495e-002	1.639899e+001
4.317331343528169e-002	1.639801e+001
4.324515467807120e-002	1.639679e+001
4.333536587328210e-002	1.639526e+001
4.343302212328210e-002	1.639360e+001
4.353067837328210e-002	1.639194e+001
4.362833462328210e-002	1.639028e+001
4.372599087328211e-002	1.638862e+001
4.382364712328211e-002	1.638697e+001
4.392130337328211e-002	1.638531e+001
4.401895962328211e-002	1.638365e+001
4.411661587328211e-002	1.638199e+001
4.421427212328211e-002	1.638033e+001
4.431192837328211e-002	1.637868e+001
4.440958462328212e-002	1.637702e+001
4.450724087328212e-002	1.637536e+001
4.470255337328212e-002	1.637205e+001
4.489786587328212e-002	1.636873e+001
4.509317837328213e-002	1.636542e+001
4.538614712328213e-002	1.636045e+001
4.567911587328213e-002	1.635549e+001
4.601393730185357e-002	1.634981e+001
4.634875873042500e-002	1.634414e+001
4.668358015899644e-002	1.633847e+001
4.701840158756787e-002	1.633280e+001
4.735322301613930e-002	1.632714e+001
4.768804444471073e-002	1.632147e+001
4.802286587328217e-002	1.631581e+001
4.846929444471074e-002	1.630827e+001
4.891572301613932e-002	1.630072e+001
4.936215158756790e-002	1.629318e+001
4.980858015899648e-002	1.628565e+001
5.025500873042506e-002	1.627812e+001
5.070143730185363e-002	1.627059e+001
5.114786587328221e-002	1.626306e+001
5.151058908756793e-002	1.625695e+001
5.187331230185365e-002	1.625084e+001
5.223603551613937e-002	1.624473e+001
5.259875873042509e-002	1.623863e+001
5.296148194471081e-002	1.623253e+001
5.332420515899653e-002	1.622643e+001
5.368692837328225e-002	1.622033e+001
5.393804444471082e-002	1.621611e+001
5.418916051613940e-002	1.621189e+001
5.444027658756797e-002	1.620767e+001
5.469139265899655e-002	1.620345e+001
5.494250873042512e-002	1.619924e+001
5.519362480185370e-002	1.619502e+001
5.544474087328227e-002	1.619081e+001
5.554239712328227e-002	1.618917e+001
5.564005337328228e-002	1.618753e+001
5.573770962328228e-002	1.618589e+001
5.583536587328228e-002	1.618426e+001
5.593302212328228e-002	1.618262e+001
5.603067837328228e-002	1.618098e+001
5.612833462328228e-002	1.617934e+001
5.622599087328228e-002	1.617771e+001
5.632364712328229e-002	1.617607e+001
5.642130337328229e-002	1.617443e+001
5.651895962328229e-002	1.617279e+001
5.661661587328229e-002	1.617116e+001
5.671427212328229e-002	1.616953e+001
5.677970602570844e-002	1.616844e+001
5.682331542406087e-002	1.616771e+001
5.687162541012790e-002	1.616692e+001
5.691572359726791e-002	1.616620e+001
5.696206721888345e-002	1.616548e+001
5.700932907734695e-002	1.616476e+001
5.705844064928794e-002	1.616409e+001
5.710975333074685e-002	1.616349e+001
5.716372966497703e-002	1.616306e+001
5.722136328572977e-002	1.616298e+001
5.728408225453151e-002	1.616360e+001
5.735531587551271e-002	1.616576e+001
5.744356053398081e-002	1.617143e+001
5.754121678398081e-002	1.618233e+001
5.763887303398081e-002	1.619861e+001
